timevar,Nats,Ntransitions,atlist,Haz_1_to_2,Haz_1_to_3,Haz_diff_1_to_2,Haz_diff_1_to_3,Haz_ratio_1_to_2,Haz_ratio_1_to_3,P_1_to_1,P_1_to_2,P_1_to_3,P_diff_1_to_1,P_diff_1_to_2,P_diff_1_to_3,P_ratio_1_to_1,P_ratio_1_to_2,P_ratio_1_to_3,Visit_1_to_1,Visit_1_to_2,Visit_1_to_3,Visit_diff_1_to_1,Visit_diff_1_to_2,Visit_diff_1_to_3,Visit_ratio_1_to_1,Visit_ratio_1_to_2,Visit_ratio_1_to_3,Los_1_to_1,Los_1_to_2,Los_1_to_3,Los_diff_1_to_1,Los_diff_1_to_2,Los_diff_1_to_3,Los_ratio_1_to_1,Los_ratio_1_to_2,Los_ratio_1_to_3,User_1,User_diff_1,User_ratio_1,Haz_1_to_2_uci,Haz_1_to_3_uci,Haz_diff_1_to_2_uci,Haz_diff_1_to_3_uci,Haz_ratio_1_to_2_uci,Haz_ratio_1_to_3_uci,P_1_to_1_uci,P_1_to_2_uci,P_1_to_3_uci,P_diff_1_to_1_uci,P_diff_1_to_2_uci,P_diff_1_to_3_uci,P_ratio_1_to_1_uci,P_ratio_1_to_2_uci,P_ratio_1_to_3_uci,Visit_1_to_1_uci,Visit_1_to_2_uci,Visit_1_to_3_uci,Visit_diff_1_to_1_uci,Visit_diff_1_to_2_uci,Visit_diff_1_to_3_uci,Visit_ratio_1_to_1_uci,Visit_ratio_1_to_2_uci,Visit_ratio_1_to_3_uci,Los_1_to_1_uci,Los_1_to_2_uci,Los_1_to_3_uci,Los_diff_1_to_1_uci,Los_diff_1_to_2_uci,Los_diff_1_to_3_uci,Los_ratio_1_to_1_uci,Los_ratio_1_to_2_uci,Los_ratio_1_to_3_uci,User_1_uci,User_diff_1_uci,User_ratio_1_uci,Haz_1_to_2_lci,Haz_1_to_3_lci,Haz_diff_1_to_2_lci,Haz_diff_1_to_3_lci,Haz_ratio_1_to_2_lci,Haz_ratio_1_to_3_lci,P_1_to_1_lci,P_1_to_2_lci,P_1_to_3_lci,P_diff_1_to_1_lci,P_diff_1_to_2_lci,P_diff_1_to_3_lci,P_ratio_1_to_1_lci,P_ratio_1_to_2_lci,P_ratio_1_to_3_lci,Visit_1_to_1_lci,Visit_1_to_2_lci,Visit_1_to_3_lci,Visit_diff_1_to_1_lci,Visit_diff_1_to_2_lci,Visit_diff_1_to_3_lci,Visit_ratio_1_to_1_lci,Visit_ratio_1_to_2_lci,Visit_ratio_1_to_3_lci,Los_1_to_1_lci,Los_1_to_2_lci,Los_1_to_3_lci,Los_diff_1_to_1_lci,Los_diff_1_to_2_lci,Los_diff_1_to_3_lci,Los_ratio_1_to_1_lci,Los_ratio_1_to_2_lci,Los_ratio_1_to_3_lci,User_1_to_lci,User_diff_1_lci,User_ratio_1_lci,Haz_2_to_3,Haz_diff_2_to_3,Haz_ratio_2_to_3,P_2_to_1,P_2_to_2,P_2_to_3,P_diff_2_to_1,P_diff_2_to_2,P_diff_2_to_3,P_ratio_2_to_1,P_ratio_2_to_2,P_ratio_2_to_3,Visit_2_to_1,Visit_2_to_2,Visit_2_to_3,Visit_diff_2_to_1,Visit_diff_2_to_2,Visit_diff_2_to_3,Visit_ratio_2_to_1,Visit_ratio_2_to_2,Visit_ratio_2_to_3,Los_2_to_1,Los_2_to_2,Los_2_to_3,Los_diff_2_to_1,Los_diff_2_to_2,Los_diff_2_to_3,Los_ratio_2_to_1,Los_ratio_2_to_2,Los_ratio_2_to_3,User_2,User_diff_2,User_ratio_2,Haz_2_to_3_uci,Haz_diff_2_to_3_uci,Haz_ratio_2_to_3_uci,P_2_to_1_uci,P_2_to_2_uci,P_2_to_3_uci,P_diff_2_to_1_uci,P_diff_2_to_2_uci,P_diff_2_to_3_uci,P_ratio_2_to_1_uci,P_ratio_2_to_2_uci,P_ratio_2_to_3_uci,Visit_2_to_1_uci,Visit_2_to_2_uci,Visit_2_to_3_uci,Visit_diff_2_to_1_uci,Visit_diff_2_to_2_uci,Visit_diff_2_to_3_uci,Visit_ratio_2_to_1_uci,Visit_ratio_2_to_2_uci,Visit_ratio_2_to_3_uci,Los_2_to_1_uci,Los_2_to_2_uci,Los_2_to_3_uci,Los_diff_2_to_1_uci,Los_diff_2_to_2_uci,Los_diff_2_to_3_uci,Los_ratio_2_to_1_uci,Los_ratio_2_to_2_uci,Los_ratio_2_to_3_uci,User_2_uci,User_diff_2_uci,User_ratio_2_uci,Haz_2_to_3_lci,Haz_diff_2_to_3_lci,Haz_ratio_2_to_3_lci,P_2_to_1_lci,P_2_to_2_lci,P_2_to_3_lci,P_diff_2_to_1_lci,P_diff_2_to_2_lci,P_diff_2_to_3_lci,P_ratio_2_to_1_lci,P_ratio_2_to_2_lci,P_ratio_2_to_3_lci,Visit_2_to_1_lci,Visit_2_to_2_lci,Visit_2_to_3_lci,Visit_diff_2_to_1_lci,Visit_diff_2_to_2_lci,Visit_diff_2_to_3_lci,Visit_ratio_2_to_1_lci,Visit_ratio_2_to_2_lci,Visit_ratio_2_to_3_lci,Los_2_to_1_lci,Los_2_to_2_lci,Los_2_to_3_lci,Los_diff_2_to_1_lci,Los_diff_2_to_2_lci,Los_diff_2_to_3_lci,Los_ratio_2_to_1_lci,Los_ratio_2_to_2_lci,Los_ratio_2_to_3_lci,User_2_to_lci,User_diff_2_lci,User_ratio_2_lci
0,3,3,ag2 0 ag3 0,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0.00131,0,NA,NA,NA,NA,NA,NA,1,0.00131,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99869,0,0,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
0.3,3,3,ag2 0 ag3 0,3.03634,0.52278,NA,NA,NA,NA,0.60374,0.36752,0.02874,NA,NA,NA,NA,NA,NA,1,0.36858,0.02874,NA,NA,NA,NA,NA,NA,0.08589,0.01288,0.00123,NA,NA,NA,NA,NA,NA,0.09877,NA,NA,3.3774,0.65837,NA,NA,NA,NA,0.63401,0.39813,0.03589,NA,NA,NA,NA,NA,NA,1,0.39926,0.03589,NA,NA,NA,NA,NA,NA,0.08717,0.01415,0.00159,NA,NA,NA,NA,NA,NA,0.0991,NA,NA,2.72972,0.41512,NA,NA,NA,NA,0.57265,0.33794,0.02298,NA,NA,NA,NA,NA,NA,1,0.33892,0.02298,NA,NA,NA,NA,NA,NA,0.08464,0.01173,0.00095,NA,NA,NA,NA,NA,NA,0.09845,NA,NA,0.11298,NA,NA,0,0.99563,0.00437,NA,NA,NA,NA,NA,NA,0,1,0.00437,NA,NA,NA,NA,NA,NA,0,0.09988,0.00012,NA,NA,NA,NA,NA,NA,0.09988,NA,NA,0.19174,NA,NA,0,0.99814,0.01025,NA,NA,NA,NA,NA,NA,0,1,0.01025,NA,NA,NA,NA,NA,NA,0,0.10006,0.00036,NA,NA,NA,NA,NA,NA,0.10006,NA,NA,0.06657,NA,NA,0,0.98975,0.00186,NA,NA,NA,NA,NA,NA,0,1,0.00186,NA,NA,NA,NA,NA,NA,0,0.0997,4.00E-05,NA,NA,NA,NA,NA,NA,0.0997,NA,NA
0.6,3,3,ag2 0 ag3 0,1.00025,0.64675,NA,NA,NA,NA,0.47645,0.45509,0.06846,NA,NA,NA,NA,NA,NA,1,0.46447,0.06846,NA,NA,NA,NA,NA,NA,0.13887,0.0551,0.00603,NA,NA,NA,NA,NA,NA,0.19397,NA,NA,1.13538,0.77804,NA,NA,NA,NA,0.50707,0.4866,0.08053,NA,NA,NA,NA,NA,NA,1,0.49623,0.08053,NA,NA,NA,NA,NA,NA,0.14319,0.05948,0.00729,NA,NA,NA,NA,NA,NA,0.19513,NA,NA,0.8812,0.53761,NA,NA,NA,NA,0.44601,0.42394,0.05808,NA,NA,NA,NA,NA,NA,1,0.433,0.05808,NA,NA,NA,NA,NA,NA,0.13468,0.05104,0.00499,NA,NA,NA,NA,NA,NA,0.19281,NA,NA,0.26473,NA,NA,0,0.97707,0.02293,NA,NA,NA,NA,NA,NA,0,1,0.02293,NA,NA,NA,NA,NA,NA,0,0.19866,0.00134,NA,NA,NA,NA,NA,NA,0.19866,NA,NA,0.33297,NA,NA,0,0.98406,0.03288,NA,NA,NA,NA,NA,NA,0,1,0.03288,NA,NA,NA,NA,NA,NA,0,0.1995,0.00233,NA,NA,NA,NA,NA,NA,0.1995,NA,NA,0.21047,NA,NA,0,0.96712,0.01594,NA,NA,NA,NA,NA,NA,0,1,0.01594,NA,NA,NA,NA,NA,NA,0,0.19782,0.00077,NA,NA,NA,NA,NA,NA,0.19782,NA,NA
0.9,3,3,ag2 0 ag3 0,0.42312,0.59463,NA,NA,NA,NA,0.41716,0.47141,0.11143,NA,NA,NA,NA,NA,NA,1,0.49574,0.11143,NA,NA,NA,NA,NA,NA,0.18317,0.10174,0.01508,NA,NA,NA,NA,NA,NA,0.28492,NA,NA,0.48375,0.73403,NA,NA,NA,NA,0.44746,0.50321,0.12727,NA,NA,NA,NA,NA,NA,1,0.52804,0.12727,NA,NA,NA,NA,NA,NA,0.19049,0.10934,0.01765,NA,NA,NA,NA,NA,NA,0.28729,NA,NA,0.37008,0.48171,NA,NA,NA,NA,0.38747,0.43984,0.09735,NA,NA,NA,NA,NA,NA,1,0.46348,0.09735,NA,NA,NA,NA,NA,NA,0.17613,0.09468,0.01289,NA,NA,NA,NA,NA,NA,0.28254,NA,NA,0.33386,NA,NA,0,0.94761,0.05239,NA,NA,NA,NA,NA,NA,0,1,0.05239,NA,NA,NA,NA,NA,NA,0,0.29494,0.00506,NA,NA,NA,NA,NA,NA,0.29494,NA,NA,0.4215,NA,NA,0,0.95796,0.06512,NA,NA,NA,NA,NA,NA,0,1,0.06512,NA,NA,NA,NA,NA,NA,0,0.29671,0.00702,NA,NA,NA,NA,NA,NA,0.2967,NA,NA,0.26444,NA,NA,0,0.93488,0.04204,NA,NA,NA,NA,NA,NA,0,1,0.04204,NA,NA,NA,NA,NA,NA,0,0.29319,0.00365,NA,NA,NA,NA,NA,NA,0.29318,NA,NA
1.2,3,3,ag2 0 ag3 0,0.19863,0.45597,NA,NA,NA,NA,0.38546,0.46691,0.14763,NA,NA,NA,NA,NA,NA,1,0.50708,0.14763,NA,NA,NA,NA,NA,NA,0.22315,0.14874,0.0281,NA,NA,NA,NA,NA,NA,0.3719,NA,NA,0.22844,0.5529,NA,NA,NA,NA,0.41553,0.49861,0.16671,NA,NA,NA,NA,NA,NA,1,0.53956,0.16671,NA,NA,NA,NA,NA,NA,0.23342,0.15953,0.03229,NA,NA,NA,NA,NA,NA,0.3758,NA,NA,0.17272,0.37603,NA,NA,NA,NA,0.35624,0.43547,0.13039,NA,NA,NA,NA,NA,NA,1,0.47454,0.13039,NA,NA,NA,NA,NA,NA,0.21334,0.13868,0.02446,NA,NA,NA,NA,NA,NA,0.36799,NA,NA,0.32487,NA,NA,0,0.9171,0.0829,NA,NA,NA,NA,NA,NA,0,1,0.0829,NA,NA,NA,NA,NA,NA,0,0.38815,0.01185,NA,NA,NA,NA,NA,NA,0.38815,NA,NA,0.39959,NA,NA,0,0.93106,0.09939,NA,NA,NA,NA,NA,NA,0,1,0.09939,NA,NA,NA,NA,NA,NA,0,0.39106,0.015,NA,NA,NA,NA,NA,NA,0.39104,NA,NA,0.26412,NA,NA,0,0.90061,0.06894,NA,NA,NA,NA,NA,NA,0,1,0.06894,NA,NA,NA,NA,NA,NA,0,0.38526,0.00936,NA,NA,NA,NA,NA,NA,0.38526,NA,NA
1.5,3,3,ag2 0 ag3 0,0.09771,0.34267,NA,NA,NA,NA,0.36607,0.45759,0.17634,NA,NA,NA,NA,NA,NA,1,0.51191,0.17634,NA,NA,NA,NA,NA,NA,0.26065,0.195,0.04434,NA,NA,NA,NA,NA,NA,0.45566,NA,NA,0.1136,0.41173,NA,NA,NA,NA,0.39605,0.48912,0.19743,NA,NA,NA,NA,NA,NA,1,0.54451,0.19743,NA,NA,NA,NA,NA,NA,0.27384,0.20897,0.05042,NA,NA,NA,NA,NA,NA,0.46137,NA,NA,0.08404,0.2852,NA,NA,NA,NA,0.3371,0.4264,0.15706,NA,NA,NA,NA,NA,NA,1,0.47921,0.15706,NA,NA,NA,NA,NA,NA,0.2481,0.18197,0.039,NA,NA,NA,NA,NA,NA,0.44995,NA,NA,0.2851,NA,NA,0,0.89041,0.10959,NA,NA,NA,NA,NA,NA,0,1,0.10959,NA,NA,NA,NA,NA,NA,0,0.47851,0.02149,NA,NA,NA,NA,NA,NA,0.47851,NA,NA,0.357,NA,NA,0,0.90726,0.12907,NA,NA,NA,NA,NA,NA,0,1,0.12907,NA,NA,NA,NA,NA,NA,0,0.48289,0.02615,NA,NA,NA,NA,NA,NA,0.48286,NA,NA,0.22768,NA,NA,0,0.87093,0.09274,NA,NA,NA,NA,NA,NA,0,1,0.09274,NA,NA,NA,NA,NA,NA,0,0.47418,0.01766,NA,NA,NA,NA,NA,NA,0.47417,NA,NA
1.8,3,3,ag2 0 ag3 0,0.04848,0.26668,NA,NA,NA,NA,0.35274,0.4487,0.19856,NA,NA,NA,NA,NA,NA,1,0.51455,0.19856,NA,NA,NA,NA,NA,NA,0.29654,0.24032,0.06314,NA,NA,NA,NA,NA,NA,0.53686,NA,NA,0.05797,0.32577,NA,NA,NA,NA,0.38261,0.47991,0.2209,NA,NA,NA,NA,NA,NA,1,0.54724,0.2209,NA,NA,NA,NA,NA,NA,0.31266,0.25743,0.07129,NA,NA,NA,NA,NA,NA,0.54455,NA,NA,0.04054,0.2183,NA,NA,NA,NA,0.32398,0.41789,0.17796,NA,NA,NA,NA,NA,NA,1,0.48174,0.17796,NA,NA,NA,NA,NA,NA,0.28126,0.22434,0.05592,NA,NA,NA,NA,NA,NA,0.52917,NA,NA,0.24103,NA,NA,0,0.86626,0.13374,NA,NA,NA,NA,NA,NA,0,1,0.13374,NA,NA,NA,NA,NA,NA,0,0.56629,0.03371,NA,NA,NA,NA,NA,NA,0.56629,NA,NA,0.3085,NA,NA,0,0.88578,0.15601,NA,NA,NA,NA,NA,NA,0,1,0.15601,NA,NA,NA,NA,NA,NA,0,0.57244,0.0402,NA,NA,NA,NA,NA,NA,0.57239,NA,NA,0.18831,NA,NA,0,0.84399,0.11422,NA,NA,NA,NA,NA,NA,0,1,0.11422,NA,NA,NA,NA,NA,NA,0,0.56022,0.02826,NA,NA,NA,NA,NA,NA,0.5602,NA,NA
2.1,3,3,ag2 0 ag3 0,0.02351,0.21648,NA,NA,NA,NA,0.34279,0.44001,0.2172,NA,NA,NA,NA,NA,NA,1,0.51592,0.2172,NA,NA,NA,NA,NA,NA,0.33131,0.28474,0.08395,NA,NA,NA,NA,NA,NA,0.61605,NA,NA,0.03029,0.27023,NA,NA,NA,NA,0.37258,0.47108,0.24047,NA,NA,NA,NA,NA,NA,1,0.54862,0.24047,NA,NA,NA,NA,NA,NA,0.35036,0.30495,0.09429,NA,NA,NA,NA,NA,NA,0.62583,NA,NA,0.01824,0.17341,NA,NA,NA,NA,0.31419,0.4094,0.1956,NA,NA,NA,NA,NA,NA,1,0.48309,0.1956,NA,NA,NA,NA,NA,NA,0.31329,0.26587,0.07475,NA,NA,NA,NA,NA,NA,0.60627,NA,NA,0.20035,NA,NA,0,0.84781,0.15219,NA,NA,NA,NA,NA,NA,0,1,0.15219,NA,NA,NA,NA,NA,NA,0,0.65196,0.04804,NA,NA,NA,NA,NA,NA,0.65196,NA,NA,0.25181,NA,NA,0,0.86949,0.17673,NA,NA,NA,NA,NA,NA,0,1,0.17673,NA,NA,NA,NA,NA,NA,0,0.66012,0.05665,NA,NA,NA,NA,NA,NA,0.66005,NA,NA,0.15941,NA,NA,0,0.82327,0.13051,NA,NA,NA,NA,NA,NA,0,1,0.13051,NA,NA,NA,NA,NA,NA,0,0.6439,0.04075,NA,NA,NA,NA,NA,NA,0.64387,NA,NA
2.4,3,3,ag2 0 ag3 0,0.01086,0.18336,NA,NA,NA,NA,0.33571,0.43233,0.23196,NA,NA,NA,NA,NA,NA,1,0.5166,0.23196,NA,NA,NA,NA,NA,NA,0.36521,0.32833,0.10646,NA,NA,NA,NA,NA,NA,0.69354,NA,NA,0.01708,0.2312,NA,NA,NA,NA,0.36547,0.46328,0.25586,NA,NA,NA,NA,NA,NA,1,0.5493,0.25586,NA,NA,NA,NA,NA,NA,0.3872,0.35162,0.11907,NA,NA,NA,NA,NA,NA,0.7055,NA,NA,0.00691,0.14542,NA,NA,NA,NA,0.3072,0.4019,0.20966,NA,NA,NA,NA,NA,NA,1,0.48375,0.20966,NA,NA,NA,NA,NA,NA,0.34447,0.30659,0.09518,NA,NA,NA,NA,NA,NA,0.68159,NA,NA,0.16649,NA,NA,0,0.83273,0.16727,NA,NA,NA,NA,NA,NA,0,1,0.16727,NA,NA,NA,NA,NA,NA,0,0.73597,0.06403,NA,NA,NA,NA,NA,NA,0.73597,NA,NA,0.20227,NA,NA,0,0.85599,0.19344,NA,NA,NA,NA,NA,NA,0,1,0.19344,NA,NA,NA,NA,NA,NA,0,0.74636,0.07495,NA,NA,NA,NA,NA,NA,0.74625,NA,NA,0.13705,NA,NA,0,0.80656,0.14401,NA,NA,NA,NA,NA,NA,0,1,0.14401,NA,NA,NA,NA,NA,NA,0,0.72572,0.05471,NA,NA,NA,NA,NA,NA,0.72568,NA,NA
2.7,3,3,ag2 0 ag3 0,0.00482,0.16155,NA,NA,NA,NA,0.32963,0.42652,0.24385,NA,NA,NA,NA,NA,NA,1,0.51675,0.24385,NA,NA,NA,NA,NA,NA,0.39848,0.37126,0.13026,NA,NA,NA,NA,NA,NA,0.76974,NA,NA,0.01301,0.20234,NA,NA,NA,NA,0.35932,0.45746,0.26805,NA,NA,NA,NA,NA,NA,1,0.54946,0.26805,NA,NA,NA,NA,NA,NA,0.42341,0.39762,0.14521,NA,NA,NA,NA,NA,NA,0.78393,NA,NA,0.00178,0.12898,NA,NA,NA,NA,0.30124,0.39614,0.22117,NA,NA,NA,NA,NA,NA,1,0.48389,0.22117,NA,NA,NA,NA,NA,NA,0.37502,0.34664,0.11685,NA,NA,NA,NA,NA,NA,0.75555,NA,NA,0.14045,NA,NA,0,0.82025,0.17975,NA,NA,NA,NA,NA,NA,0,1,0.17975,NA,NA,NA,NA,NA,NA,0,0.81861,0.08139,NA,NA,NA,NA,NA,NA,0.81861,NA,NA,0.16926,NA,NA,0,0.8445,0.20685,NA,NA,NA,NA,NA,NA,0,1,0.20685,NA,NA,NA,NA,NA,NA,0,0.83139,0.09478,NA,NA,NA,NA,NA,NA,0.83125,NA,NA,0.11655,NA,NA,0,0.79315,0.1555,NA,NA,NA,NA,NA,NA,0,1,0.1555,NA,NA,NA,NA,NA,NA,0,0.80602,0.0699,NA,NA,NA,NA,NA,NA,0.80596,NA,NA
