timevar;Nats;Ntransitions;atlist;h1;h2;h3;P_1_to_1;P_1_to_2;P_1_to_3;P_diff_1_to_1;P_diff_1_to_2;P_diff_1_to_3;P_ratio_1_to_1;P_ratio_1_to_2;P_ratio_1_to_3;Visit_1_to_1;Visit_1_to_2;Visit_1_to_3;Visit_diff_1_to_1;Visit_diff_1_to_2;Visit_diff_1_to_3;Visit_ratio_1_to_1;Visit_ratio_1_to_2;Visit_ratio_1_to_3;Los_1_to_1;Los_1_to_2;Los_1_to_3;Los_diff_1_to_1;Los_diff_1_to_2;Los_diff_1_to_3;Los_ratio_1_to_1;Los_ratio_1_to_2;Los_ratio_1_to_3;User_1;User_diff_1;User_ratio_1;P_1_to_1_uci;P_1_to_2_uci;P_1_to_3_uci;P_diff_1_to_1_uci;P_diff_1_to_2_uci;P_diff_1_to_3_uci;P_ratio_1_to_1_uci;P_ratio_1_to_2_uci;P_ratio_1_to_3_uci;Visit_1_to_1_uci;Visit_1_to_2_uci;Visit_1_to_3_uci;Visit_diff_1_to_1_uci;Visit_diff_1_to_2_uci;Visit_diff_1_to_3_uci;Visit_ratio_1_to_1_uci;Visit_ratio_1_to_2_uci;Visit_ratio_1_to_3_uci;Los_1_to_1_uci;Los_1_to_2_uci;Los_1_to_3_uci;Los_diff_1_to_1_uci;Los_diff_1_to_2_uci;Los_diff_1_to_3_uci;Los_ratio_1_to_1_uci;Los_ratio_1_to_2_uci;Los_ratio_1_to_3_uci;User_1_uci;User_diff_1_uci;User_ratio_1_uci;P_1_to_1_lci;P_1_to_2_lci;P_1_to_3_lci;P_diff_1_to_1_lci;P_diff_1_to_2_lci;P_diff_1_to_3_lci;P_ratio_1_to_1_lci;P_ratio_1_to_2_lci;P_ratio_1_to_3_lci;Visit_1_to_1_lci;Visit_1_to_2_lci;Visit_1_to_3_lci;Visit_diff_1_to_1_lci;Visit_diff_1_to_2_lci;Visit_diff_1_to_3_lci;Visit_ratio_1_to_1_lci;Visit_ratio_1_to_2_lci;Visit_ratio_1_to_3_lci;Los_1_to_1_lci;Los_1_to_2_lci;Los_1_to_3_lci;Los_diff_1_to_1_lci;Los_diff_1_to_2_lci;Los_diff_1_to_3_lci;Los_ratio_1_to_1_lci;Los_ratio_1_to_2_lci;Los_ratio_1_to_3_lci;User_1_to_lci;User_diff_1_lci;User_ratio_1_lci;P_2_to_1;P_2_to_2;P_2_to_3;P_diff_2_to_1;P_diff_2_to_2;P_diff_2_to_3;P_ratio_2_to_1;P_ratio_2_to_2;P_ratio_2_to_3;Visit_2_to_1;Visit_2_to_2;Visit_2_to_3;Visit_diff_2_to_1;Visit_diff_2_to_2;Visit_diff_2_to_3;Visit_ratio_2_to_1;Visit_ratio_2_to_2;Visit_ratio_2_to_3;Los_2_to_1;Los_2_to_2;Los_2_to_3;Los_diff_2_to_1;Los_diff_2_to_2;Los_diff_2_to_3;Los_ratio_2_to_1;Los_ratio_2_to_2;Los_ratio_2_to_3;User_2;User_diff_2;User_ratio_2;P_2_to_1_uci;P_2_to_2_uci;P_2_to_3_uci;P_diff_2_to_1_uci;P_diff_2_to_2_uci;P_diff_2_to_3_uci;P_ratio_2_to_1_uci;P_ratio_2_to_2_uci;P_ratio_2_to_3_uci;Visit_2_to_1_uci;Visit_2_to_2_uci;Visit_2_to_3_uci;Visit_diff_2_to_1_uci;Visit_diff_2_to_2_uci;Visit_diff_2_to_3_uci;Visit_ratio_2_to_1_uci;Visit_ratio_2_to_2_uci;Visit_ratio_2_to_3_uci;Los_2_to_1_uci;Los_2_to_2_uci;Los_2_to_3_uci;Los_diff_2_to_1_uci;Los_diff_2_to_2_uci;Los_diff_2_to_3_uci;Los_ratio_2_to_1_uci;Los_ratio_2_to_2_uci;Los_ratio_2_to_3_uci;User_2_uci;User_diff_2_uci;User_ratio_2_uci;P_2_to_1_lci;P_2_to_2_lci;P_2_to_3_lci;P_diff_2_to_1_lci;P_diff_2_to_2_lci;P_diff_2_to_3_lci;P_ratio_2_to_1_lci;P_ratio_2_to_2_lci;P_ratio_2_to_3_lci;Visit_2_to_1_lci;Visit_2_to_2_lci;Visit_2_to_3_lci;Visit_diff_2_to_1_lci;Visit_diff_2_to_2_lci;Visit_diff_2_to_3_lci;Visit_ratio_2_to_1_lci;Visit_ratio_2_to_2_lci;Visit_ratio_2_to_3_lci;Los_2_to_1_lci;Los_2_to_2_lci;Los_2_to_3_lci;Los_diff_2_to_1_lci;Los_diff_2_to_2_lci;Los_diff_2_to_3_lci;Los_ratio_2_to_1_lci;Los_ratio_2_to_2_lci;Los_ratio_2_to_3_lci;User_2_to_lci;User_diff_2_lci;User_ratio_2_lci
0;3;3;ag2 0 ag3 0;NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA
0.1;3;3;ag2 0 ag3 0;5.78883;0.37738;0.0383;0.92332;0.06497;0.01171;NA;NA;NA;NA;NA;NA;1;0.06499;0.01171;NA;NA;NA;NA;NA;NA;0.04915;0.00063;0.00023;NA;NA;NA;NA;NA;NA;0.04915;NA;NA;0.93305;0.07366;0.01666;NA;NA;NA;NA;NA;NA;1;0.07368;0.01666;NA;NA;NA;NA;NA;NA;0.04933;0.00073;0.00036;NA;NA;NA;NA;NA;NA;0.04933;NA;NA;0.91359;0.05628;0.00676;NA;NA;NA;NA;NA;NA;1;0.05629;0.00676;NA;NA;NA;NA;NA;NA;0.04896;0.00052;0.00009;NA;NA;NA;NA;NA;NA;0.04896;NA;NA;0;0.99909;0.00091;NA;NA;NA;NA;NA;NA;0;1;0.00091;NA;NA;NA;NA;NA;NA;0;0.04999;0.00001;NA;NA;NA;NA;NA;NA;0;NA;NA;0;1;0.00204;NA;NA;NA;NA;NA;NA;0;1;0.00204;NA;NA;NA;NA;NA;NA;0;0.05001;0.00003;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.99796;0;NA;NA;NA;NA;NA;NA;0;1;0;NA;NA;NA;NA;NA;NA;0;0.04997;0;NA;NA;NA;NA;NA;NA;0;NA;NA
0.2;3;3;ag2 0 ag3 0;3.0361;0.52278;0.11302;0.60264;0.36808;0.02928;NA;NA;NA;NA;NA;NA;1;0.36918;0.02928;NA;NA;NA;NA;NA;NA;0.08584;0.01291;0.00126;NA;NA;NA;NA;NA;NA;0.08584;NA;NA;0.62195;0.38727;0.03631;NA;NA;NA;NA;NA;NA;1;0.38831;0.03631;NA;NA;NA;NA;NA;NA;0.08669;0.01368;0.00168;NA;NA;NA;NA;NA;NA;0.08669;NA;NA;0.58332;0.3489;0.02225;NA;NA;NA;NA;NA;NA;1;0.35006;0.02225;NA;NA;NA;NA;NA;NA;0.08499;0.01213;0.00083;NA;NA;NA;NA;NA;NA;0.08499;NA;NA;0;0.99537;0.00463;NA;NA;NA;NA;NA;NA;0;1;0.00463;NA;NA;NA;NA;NA;NA;0;0.09986;0.00014;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.99867;0.00793;NA;NA;NA;NA;NA;NA;0;1;0.00793;NA;NA;NA;NA;NA;NA;0;0.09999;0.00026;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.99207;0.00133;NA;NA;NA;NA;NA;NA;0;1;0.00133;NA;NA;NA;NA;NA;NA;0;0.09974;0.00001;NA;NA;NA;NA;NA;NA;0;NA;NA
0.3;3;3;ag2 0 ag3 0;1.64796;0.60459;0.19585;0.52447;0.42716;0.04837;NA;NA;NA;NA;NA;NA;1;0.43145;0.04837;NA;NA;NA;NA;NA;NA;0.11383;0.03298;0.00319;NA;NA;NA;NA;NA;NA;0.11383;NA;NA;0.54492;0.44839;0.05738;NA;NA;NA;NA;NA;NA;1;0.45259;0.05738;NA;NA;NA;NA;NA;NA;0.11564;0.03473;0.00398;NA;NA;NA;NA;NA;NA;0.11564;NA;NA;0.50402;0.40593;0.03936;NA;NA;NA;NA;NA;NA;1;0.41032;0.03936;NA;NA;NA;NA;NA;NA;0.11202;0.03123;0.00239;NA;NA;NA;NA;NA;NA;0.11202;NA;NA;0;0.98774;0.01226;NA;NA;NA;NA;NA;NA;0;1;0.01226;NA;NA;NA;NA;NA;NA;0;0.14946;0.00054;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.99341;0.01794;NA;NA;NA;NA;NA;NA;0;1;0.01794;NA;NA;NA;NA;NA;NA;0;0.1498;0.00089;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.98206;0.00659;NA;NA;NA;NA;NA;NA;0;1;0.00659;NA;NA;NA;NA;NA;NA;0;0.14911;0.0002;NA;NA;NA;NA;NA;NA;0;NA;NA
0.4;3;3;ag2 0 ag3 0;1.00014;0.64675;0.26449;0.47656;0.45417;0.06928;NA;NA;NA;NA;NA;NA;1;0.46372;0.06928;NA;NA;NA;NA;NA;NA;0.13877;0.0551;0.00612;NA;NA;NA;NA;NA;NA;0.13877;NA;NA;0.49766;0.47694;0.08013;NA;NA;NA;NA;NA;NA;1;0.48672;0.08013;NA;NA;NA;NA;NA;NA;0.1416;0.05792;0.00738;NA;NA;NA;NA;NA;NA;0.1416;NA;NA;0.45545;0.4314;0.05843;NA;NA;NA;NA;NA;NA;1;0.44071;0.05843;NA;NA;NA;NA;NA;NA;0.13595;0.05228;0.00487;NA;NA;NA;NA;NA;NA;0.13595;NA;NA;0;0.97642;0.02358;NA;NA;NA;NA;NA;NA;0;1;0.02358;NA;NA;NA;NA;NA;NA;0;0.19857;0.00143;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.98458;0.03173;NA;NA;NA;NA;NA;NA;0;1;0.03173;NA;NA;NA;NA;NA;NA;0;0.19925;0.00211;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.96827;0.01542;NA;NA;NA;NA;NA;NA;0;1;0.01542;NA;NA;NA;NA;NA;NA;0;0.19789;0.00075;NA;NA;NA;NA;NA;NA;0;NA;NA
0.5;3;3;ag2 0 ag3 0;0.63887;0.63865;0.3106;0.44333;0.4659;0.09077;NA;NA;NA;NA;NA;NA;1;0.48214;0.09077;NA;NA;NA;NA;NA;NA;0.16172;0.07815;0.01013;NA;NA;NA;NA;NA;NA;0.16172;NA;NA;0.46463;0.48913;0.10303;NA;NA;NA;NA;NA;NA;1;0.50625;0.10303;NA;NA;NA;NA;NA;NA;0.16558;0.08209;0.01193;NA;NA;NA;NA;NA;NA;0.16558;NA;NA;0.42202;0.44267;0.07851;NA;NA;NA;NA;NA;NA;1;0.45802;0.07851;NA;NA;NA;NA;NA;NA;0.15787;0.07421;0.00833;NA;NA;NA;NA;NA;NA;0.15787;NA;NA;0;0.96249;0.03751;NA;NA;NA;NA;NA;NA;0;1;0.03751;NA;NA;NA;NA;NA;NA;0;0.24706;0.00294;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.9731;0.04811;NA;NA;NA;NA;NA;NA;0;1;0.04811;NA;NA;NA;NA;NA;NA;0;0.24817;0.00406;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.95189;0.0269;NA;NA;NA;NA;NA;NA;0;1;0.0269;NA;NA;NA;NA;NA;NA;0;0.24594;0.00183;NA;NA;NA;NA;NA;NA;0;NA;NA
0.6;3;3;ag2 0 ag3 0;0.42306;0.59463;0.33362;0.41885;0.46947;0.11168;NA;NA;NA;NA;NA;NA;1;0.49329;0.11168;NA;NA;NA;NA;NA;NA;0.18325;0.10156;0.01519;NA;NA;NA;NA;NA;NA;0.18325;NA;NA;0.44079;0.49265;0.12549;NA;NA;NA;NA;NA;NA;1;0.51831;0.12549;NA;NA;NA;NA;NA;NA;0.18815;0.10664;0.0176;NA;NA;NA;NA;NA;NA;0.18815;NA;NA;0.3969;0.44629;0.09788;NA;NA;NA;NA;NA;NA;1;0.46827;0.09788;NA;NA;NA;NA;NA;NA;0.17834;0.09648;0.01278;NA;NA;NA;NA;NA;NA;0.17834;NA;NA;0;0.94699;0.05301;NA;NA;NA;NA;NA;NA;0;1;0.05301;NA;NA;NA;NA;NA;NA;0;0.2948;0.0052;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.96036;0.06638;NA;NA;NA;NA;NA;NA;0;1;0.06638;NA;NA;NA;NA;NA;NA;0;0.29645;0.00686;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.93362;0.03964;NA;NA;NA;NA;NA;NA;0;1;0.03964;NA;NA;NA;NA;NA;NA;0;0.29314;0.00355;NA;NA;NA;NA;NA;NA;0;NA;NA
0.7;3;3;ag2 0 ag3 0;0.28734;0.52865;0.33672;0.40009;0.46873;0.13118;NA;NA;NA;NA;NA;NA;1;0.50044;0.13118;NA;NA;NA;NA;NA;NA;0.2037;0.12503;0.02127;NA;NA;NA;NA;NA;NA;0.2037;NA;NA;0.42245;0.4916;0.1461;NA;NA;NA;NA;NA;NA;1;0.52624;0.1461;NA;NA;NA;NA;NA;NA;0.20968;0.13123;0.02436;NA;NA;NA;NA;NA;NA;0.20968;NA;NA;0.37773;0.44587;0.11625;NA;NA;NA;NA;NA;NA;1;0.47464;0.11625;NA;NA;NA;NA;NA;NA;0.19772;0.11882;0.01819;NA;NA;NA;NA;NA;NA;0.19772;NA;NA;0;0.9311;0.0689;NA;NA;NA;NA;NA;NA;0;1;0.0689;NA;NA;NA;NA;NA;NA;0;0.34175;0.00825;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.94657;0.08437;NA;NA;NA;NA;NA;NA;0;1;0.08437;NA;NA;NA;NA;NA;NA;0;0.34405;0.01055;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.91563;0.05343;NA;NA;NA;NA;NA;NA;0;1;0.05343;NA;NA;NA;NA;NA;NA;0;0.33945;0.00595;NA;NA;NA;NA;NA;NA;0;NA;NA
0.8;3;3;ag2 0 ag3 0;0.1986;0.45597;0.32496;0.38586;0.46561;0.14853;NA;NA;NA;NA;NA;NA;1;0.50504;0.14853;NA;NA;NA;NA;NA;NA;0.22333;0.14839;0.02828;NA;NA;NA;NA;NA;NA;0.22333;NA;NA;0.40819;0.48814;0.16465;NA;NA;NA;NA;NA;NA;1;0.5311;0.16465;NA;NA;NA;NA;NA;NA;0.2304;0.1557;0.03209;NA;NA;NA;NA;NA;NA;0.2304;NA;NA;0.36352;0.44308;0.13241;NA;NA;NA;NA;NA;NA;1;0.47897;0.13241;NA;NA;NA;NA;NA;NA;0.21626;0.14108;0.02446;NA;NA;NA;NA;NA;NA;0.21626;NA;NA;0;0.91576;0.08424;NA;NA;NA;NA;NA;NA;0;1;0.08424;NA;NA;NA;NA;NA;NA;0;0.38792;0.01208;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.93304;0.10152;NA;NA;NA;NA;NA;NA;0;1;0.10152;NA;NA;NA;NA;NA;NA;0;0.39096;0.01512;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.89848;0.06696;NA;NA;NA;NA;NA;NA;0;1;0.06696;NA;NA;NA;NA;NA;NA;0;0.38488;0.00904;NA;NA;NA;NA;NA;NA;0;NA;NA
0.9;3;3;ag2 0 ag3 0;0.13884;0.39393;0.30663;0.37463;0.4614;0.16397;NA;NA;NA;NA;NA;NA;1;0.50817;0.16397;NA;NA;NA;NA;NA;NA;0.24233;0.17157;0.0361;NA;NA;NA;NA;NA;NA;0.24233;NA;NA;0.39667;0.48327;0.18145;NA;NA;NA;NA;NA;NA;1;0.53433;0.18145;NA;NA;NA;NA;NA;NA;0.25047;0.17996;0.0407;NA;NA;NA;NA;NA;NA;0.25047;NA;NA;0.35259;0.43952;0.1465;NA;NA;NA;NA;NA;NA;1;0.48201;0.1465;NA;NA;NA;NA;NA;NA;0.23419;0.16318;0.03149;NA;NA;NA;NA;NA;NA;0.23419;NA;NA;0;0.90136;0.09865;NA;NA;NA;NA;NA;NA;0;1;0.09865;NA;NA;NA;NA;NA;NA;0;0.43334;0.01666;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.92018;0.11747;NA;NA;NA;NA;NA;NA;0;1;0.11747;NA;NA;NA;NA;NA;NA;0;0.43721;0.02052;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0.88253;0.07982;NA;NA;NA;NA;NA;NA;0;1;0.07982;NA;NA;NA;NA;NA;NA;0;0.42948;0.01279;NA;NA;NA;NA;NA;NA;0;NA;NA
